images,denomination,labels
../images/ric.2_3(2).hdn.1045-1050\ID61273vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1045-1050\ID61274rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1045-1050\ID61274vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1045-1050\ID61276rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1045-1050\ID61276vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1060-1063\18273084rs_opt.jpg,Aureus,1
../images/ric.2_3(2).hdn.1060-1063\18273084vs_exp.jpg,Aureus,1
../images/ric.2_3(2).hdn.1065-1071\1956.127.1774.obv.noscale.jpg,Denarius,2
../images/ric.2_3(2).hdn.1065-1071\1956.127.1774.rev.noscale.jpg,Denarius,2
../images/ric.2_3(2).hdn.1065-1071\ID1430rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1065-1071\ID1430vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1065-1071\ID170976rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1065-1071\ID170976vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1065-1071\ID170977rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1065-1071\ID170977vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1065-1071\ID60933rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1065-1071\ID60933vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1065-1071\ID60934rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1065-1071\ID60934vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1065-1071\ID60935rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1065-1071\ID60935vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1072-1074\ID61040rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1072-1074\ID61040vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1072-1074\ID708rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1072-1074\ID708vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1076-1084\1911.87.2.obv.noscale.jpg,Denarius,2
../images/ric.2_3(2).hdn.1076-1084\1911.87.2.rev.noscale.jpg,Denarius,2
../images/ric.2_3(2).hdn.1076-1084\ID170978rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1076-1084\ID170978vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1076-1084\ID170979rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1076-1084\ID170979vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1076-1084\ID170980rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1076-1084\ID170980vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1076-1084\ID170981rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1076-1084\ID170981vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1076-1084\ID170982rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1076-1084\ID170982vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1076-1084\ID172068rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1076-1084\ID172068vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1076-1084\ID61051rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1076-1084\ID61051vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1076-1084\ID61054rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1076-1084\ID61054vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1076-1084\ID61055rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1076-1084\ID61055vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.108-110\18200598rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.108-110\18200598vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.108-110\ID1314rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.108-110\ID1314vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.108-110\ID1315rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.108-110\ID1315vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.108-110\ID1316rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.108-110\ID1316vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.108-110\ID1317rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.108-110\ID1317vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.108-110\ID170823rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.108-110\ID170823vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.108-110\ID60810rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.108-110\ID60810vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.108-110\ID60811rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.108-110\ID60811vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.108-110\ID679rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.108-110\ID679vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1085-1088\ID170983rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1085-1088\ID170983vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1085-1088\ID170984rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1085-1088\ID170984vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1085-1088\ID61052rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1085-1088\ID61052vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1089-1090\ID170986rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1089-1090\ID170986vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1089-1090\ID61071rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1089-1090\ID61071vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1092-1094\ID170987rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1092-1094\ID170987vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1095-1098\ID170994rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1095-1098\ID170994vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1095-1098\ID61095rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1095-1098\ID61095vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1100-1107\ID127322rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1100-1107\ID127322vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1100-1107\ID171000rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1100-1107\ID171000vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1100-1107\ID171001rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1100-1107\ID171001vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1100-1107\ID61103rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1100-1107\ID61103vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1109-1115\ID171005rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1109-1115\ID171005vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1109-1115\ID171006rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1109-1115\ID171006vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1109-1115\ID171352rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1109-1115\ID171352vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1109-1115\ID61135rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1109-1115\ID61135vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1109-1115\ID61136rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1109-1115\ID61136vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1109-1115\ID61137rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1109-1115\ID61137vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.111-113\ID1285rs_opt.jpg,Aureus,1
../images/ric.2_3(2).hdn.111-113\ID1285vs_exp.jpg,Aureus,1
../images/ric.2_3(2).hdn.111-113\ID60818vs_exp.jpg,Aureus,1
../images/ric.2_3(2).hdn.111-113\ID60819rs_opt.jpg,Aureus,1
../images/ric.2_3(2).hdn.1119-1122\1956.127.231.obv.noscale.jpg,Denarius,2
../images/ric.2_3(2).hdn.1119-1122\1956.127.231.rev.noscale.jpg,Denarius,2
../images/ric.2_3(2).hdn.1119-1122\ID1436rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1119-1122\ID1436vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1119-1122\ID171008rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1119-1122\ID171008vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1119-1122\ID171009rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1119-1122\ID171009vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1119-1122\ID61228rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1119-1122\ID61228vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1125-1128\1956.127.232.obv.noscale.jpg,Denarius,2
../images/ric.2_3(2).hdn.1125-1128\1956.127.232.rev.noscale.jpg,Denarius,2
../images/ric.2_3(2).hdn.1125-1128\ID1309rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1125-1128\ID1309vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1125-1128\ID61258rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1125-1128\ID61258vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1125-1128\PAS_3384_Hadrian.jpg,Denarius,2
../images/ric.2_3(2).hdn.1130-1136\1935.117.402.obv.noscale.jpg,Denarius,2
../images/ric.2_3(2).hdn.1130-1136\1935.117.402.rev.noscale.jpg,Denarius,2
../images/ric.2_3(2).hdn.1130-1136\1944.100.45512.obv.noscale.jpg,Denarius,2
../images/ric.2_3(2).hdn.1130-1136\1944.100.45512.rev.noscale.jpg,Denarius,2
../images/ric.2_3(2).hdn.1130-1136\1956.127.234.obv.noscale.jpg,Denarius,2
../images/ric.2_3(2).hdn.1130-1136\1956.127.234.rev.noscale.jpg,Denarius,2
../images/ric.2_3(2).hdn.1130-1136\BERK187874.jpg,Denarius,2
../images/ric.2_3(2).hdn.1130-1136\ID1437rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1130-1136\ID1437vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1130-1136\ID171010rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1130-1136\ID171010vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1130-1136\ID61275rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1130-1136\ID61275vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1130-1136\ID61277rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1130-1136\ID61277vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1139-1141\1944.100.47371.obv.noscale.jpg,Sestertius,9
../images/ric.2_3(2).hdn.1139-1141\1944.100.47371.rev.noscale.jpg,Sestertius,9
../images/ric.2_3(2).hdn.1139-1141\ID115587rs_opt.jpg,Sestertius,9
../images/ric.2_3(2).hdn.1139-1141\ID115587vs_exp.jpg,Sestertius,9
../images/ric.2_3(2).hdn.1139-1141\ID171445rs_opt.jpg,Sestertius,9
../images/ric.2_3(2).hdn.1139-1141\ID171445vs_exp.jpg,Sestertius,9
../images/ric.2_3(2).hdn.1139-1141\ID171446rs_opt.jpg,Sestertius,9
../images/ric.2_3(2).hdn.1139-1141\ID171446vs_exp.jpg,Sestertius,9
../images/ric.2_3(2).hdn.1139-1141\ID61581rs_opt.jpg,Sestertius,9
../images/ric.2_3(2).hdn.1139-1141\ID61581vs_exp.jpg,Sestertius,9
../images/ric.2_3(2).hdn.1139-1141\ID61582rs_opt.jpg,Sestertius,9
../images/ric.2_3(2).hdn.1139-1141\ID61582vs_exp.jpg,Sestertius,9
../images/ric.2_3(2).hdn.114-116\1948.19.1183.obv.noscale.jpg,Denarius,2
../images/ric.2_3(2).hdn.114-116\1948.19.1183.rev.noscale.jpg,Denarius,2
../images/ric.2_3(2).hdn.114-116\1956.127.1727.obv.noscale.jpg,Denarius,2
../images/ric.2_3(2).hdn.114-116\1956.127.1727.rev.noscale.jpg,Denarius,2
../images/ric.2_3(2).hdn.114-116\1960.170.224.obv.noscale.jpg,Denarius,2
../images/ric.2_3(2).hdn.114-116\1960.170.224.rev.noscale.jpg,Denarius,2
../images/ric.2_3(2).hdn.114-116\1995.11.190.obv.noscale.jpg,Denarius,2
../images/ric.2_3(2).hdn.114-116\1995.11.190.rev.noscale.jpg,Denarius,2
../images/ric.2_3(2).hdn.114-116\ID1318rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.114-116\ID1318vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.114-116\ID1319rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.114-116\ID1319vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.114-116\ID170825rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.114-116\ID170825vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.114-116\ID170826rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.114-116\ID60820rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.114-116\ID60820vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.114-116\ID60821vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.114-116\IOW2019727.jpg,Denarius,2
../images/ric.2_3(2).hdn.1145-1149\ID171461rs_opt.jpg,Sestertius,9
../images/ric.2_3(2).hdn.1145-1149\ID171461vs_exp.jpg,Sestertius,9
../images/ric.2_3(2).hdn.1145-1149\ID61797rs_opt.jpg,Sestertius,9
../images/ric.2_3(2).hdn.1145-1149\ID61797vs_exp.jpg,Sestertius,9
../images/ric.2_3(2).hdn.1145-1149\ID61804rs_opt.jpg,Sestertius,9
../images/ric.2_3(2).hdn.1145-1149\ID61804vs_exp.jpg,Sestertius,9
../images/ric.2_3(2).hdn.1150-1152\ID61799rs_opt.jpg,Dupondius||As,4
../images/ric.2_3(2).hdn.1150-1152\ID61799vs_exp.jpg,Dupondius||As,4
../images/ric.2_3(2).hdn.1150-1152\ID61803rs_opt.jpg,Dupondius||As,4
../images/ric.2_3(2).hdn.1150-1152\ID61803vs_exp.jpg,Dupondius||As,4
../images/ric.2_3(2).hdn.1153-1161\ID171464rs_opt.jpg,Sestertius,9
../images/ric.2_3(2).hdn.1153-1161\ID171464vs_exp.jpg,Sestertius,9
../images/ric.2_3(2).hdn.1153-1161\ID171465rs_opt.jpg,Sestertius,9
../images/ric.2_3(2).hdn.1153-1161\ID171465vs_exp.jpg,Sestertius,9
../images/ric.2_3(2).hdn.1153-1161\ID61818rs_opt.jpg,Sestertius,9
../images/ric.2_3(2).hdn.1153-1161\ID61818vs_exp.jpg,Sestertius,9
../images/ric.2_3(2).hdn.1153-1161\ID61819rs_opt.jpg,Sestertius,9
../images/ric.2_3(2).hdn.1153-1161\ID61819vs_exp.jpg,Sestertius,9
../images/ric.2_3(2).hdn.1162-1165\ID171508rs_opt.jpg,Dupondius||As,4
../images/ric.2_3(2).hdn.1162-1165\ID171508vs_exp.jpg,Dupondius||As,4
../images/ric.2_3(2).hdn.1162-1165\ID61821rs_opt.jpg,Dupondius||As,4
../images/ric.2_3(2).hdn.1162-1165\ID61821vs_exp.jpg,Dupondius||As,4
../images/ric.2_3(2).hdn.1162-1165\ID61822rs_opt.jpg,Dupondius||As,4
../images/ric.2_3(2).hdn.1162-1165\ID61822vs_exp.jpg,Dupondius||As,4
../images/ric.2_3(2).hdn.1166-1169\ID171466rs_opt.jpg,Sestertius,9
../images/ric.2_3(2).hdn.1166-1169\ID171466vs_exp.jpg,Sestertius,9
../images/ric.2_3(2).hdn.117-119\1916.192.206.obv.noscale.jpg,Denarius,2
../images/ric.2_3(2).hdn.117-119\1944.100.44797.rev.noscale.jpg,Denarius,2
../images/ric.2_3(2).hdn.117-119\1946.7.6.obv.noscale.jpg,Denarius,2
../images/ric.2_3(2).hdn.117-119\1946.7.6.rev.noscale.jpg,Denarius,2
../images/ric.2_3(2).hdn.117-119\1948.19.1184.obv.noscale.jpg,Denarius,2
../images/ric.2_3(2).hdn.117-119\1948.19.1184.rev.noscale.jpg,Denarius,2
../images/ric.2_3(2).hdn.117-119\1948.19.1185.obv.noscale.jpg,Denarius,2
../images/ric.2_3(2).hdn.117-119\1948.19.1185.rev.noscale.jpg,Denarius,2
../images/ric.2_3(2).hdn.117-119\1956.127.1729.obv.noscale.jpg,Denarius,2
../images/ric.2_3(2).hdn.117-119\1956.127.1730.obv.noscale.jpg,Denarius,2
../images/ric.2_3(2).hdn.117-119\1956.127.92.obv.noscale.jpg,Denarius,2
../images/ric.2_3(2).hdn.117-119\1956.127.92.rev.noscale.jpg,Denarius,2
../images/ric.2_3(2).hdn.117-119\ID1320rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.117-119\ID1320vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.117-119\ID1321rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.117-119\ID1321vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.117-119\ID170827rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.117-119\ID170827vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.117-119\ID506rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.117-119\ID506vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.117-119\ID60822rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.117-119\ID60822vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.117-119\ID60823rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.117-119\ID60824rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.117-119\ID60824vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.117-119\ID680rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.117-119\ID680vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1187-1200\18204624rs_opt.jpg,Dupondius||As,4
../images/ric.2_3(2).hdn.1187-1200\18204624vs_exp.jpg,Dupondius||As,4
../images/ric.2_3(2).hdn.1187-1200\1987.17.11.obv.noscale.jpg,Dupondius||As,4
../images/ric.2_3(2).hdn.1187-1200\1987.17.11.rev.noscale.jpg,Dupondius||As,4
../images/ric.2_3(2).hdn.1187-1200\ID171467rs_opt.jpg,Dupondius||As,4
../images/ric.2_3(2).hdn.1187-1200\ID171467vs_exp.jpg,Dupondius||As,4
../images/ric.2_3(2).hdn.1187-1200\ID171468rs_opt.jpg,Dupondius||As,4
../images/ric.2_3(2).hdn.1187-1200\ID171468vs_exp.jpg,Dupondius||As,4
../images/ric.2_3(2).hdn.1187-1200\ID171469rs_opt.jpg,Dupondius||As,4
../images/ric.2_3(2).hdn.1187-1200\ID171469vs_exp.jpg,Dupondius||As,4
../images/ric.2_3(2).hdn.1187-1200\ID171471rs_opt.jpg,Dupondius||As,4
../images/ric.2_3(2).hdn.1187-1200\ID171471vs_exp.jpg,Dupondius||As,4
../images/ric.2_3(2).hdn.1187-1200\ID171472rs_opt.jpg,Dupondius||As,4
../images/ric.2_3(2).hdn.1187-1200\ID171472vs_exp.jpg,Dupondius||As,4
../images/ric.2_3(2).hdn.1187-1200\ID171474rs_opt.jpg,Dupondius||As,4
../images/ric.2_3(2).hdn.1187-1200\ID171474vs_exp.jpg,Dupondius||As,4
../images/ric.2_3(2).hdn.1187-1200\ID171475rs_opt.jpg,Dupondius||As,4
../images/ric.2_3(2).hdn.1187-1200\ID171475vs_exp.jpg,Dupondius||As,4
../images/ric.2_3(2).hdn.1187-1200\ID171476rs_opt.jpg,Dupondius||As,4
../images/ric.2_3(2).hdn.1187-1200\ID171476vs_exp.jpg,Dupondius||As,4
../images/ric.2_3(2).hdn.1187-1200\ID171477rs_opt.jpg,Dupondius||As,4
../images/ric.2_3(2).hdn.1187-1200\ID171477vs_exp.jpg,Dupondius||As,4
../images/ric.2_3(2).hdn.1187-1200\ID171479rs_opt.jpg,Dupondius||As,4
../images/ric.2_3(2).hdn.1187-1200\ID171479vs_exp.jpg,Dupondius||As,4
../images/ric.2_3(2).hdn.1187-1200\ID184436rs_opt.jpg,Dupondius||As,4
../images/ric.2_3(2).hdn.1187-1200\ID184436vs_exp.jpg,Dupondius||As,4
../images/ric.2_3(2).hdn.1187-1200\ID61583rs_opt.jpg,Dupondius||As,4
../images/ric.2_3(2).hdn.1187-1200\ID61583vs_exp.jpg,Dupondius||As,4
../images/ric.2_3(2).hdn.1187-1200\ID61584rs_opt.jpg,Dupondius||As,4
../images/ric.2_3(2).hdn.1187-1200\ID61584vs_exp.jpg,Dupondius||As,4
../images/ric.2_3(2).hdn.1187-1200\ID61585rs_opt.jpg,Dupondius||As,4
../images/ric.2_3(2).hdn.1187-1200\ID61585vs_exp.jpg,Dupondius||As,4
../images/ric.2_3(2).hdn.1187-1200\ID61586rs_opt.jpg,Dupondius||As,4
../images/ric.2_3(2).hdn.1187-1200\ID61586vs_exp.jpg,Dupondius||As,4
