"URI","Title","RecordId","From Date","To Date","Authority","Deity","Denomination","Findspot","Issuer","Manufacture","Material","Mint","Object Type","Portrait","Region","Symbol_obv","Symbol_obv_letter","Symbol_rev","Symbol_rev_letter","Obverse Legend","Obverse Type","Reverse Legend","Reverse Type","Reverse Officina Mark","Reverse Exergue","Date Record Modified"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.2298-2301","RIC II, Part 3 (second edition) Hadrian 2298-2301","ric.2_3(2).hdn.2298-2301","136","136","Hadrian","","Dupondius||As","","","Struck","Bronze","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVG COS III P P","Head of Hadrian, laureate, right | Head of Hadrian, right | Bust of Hadrian, laureate, draped, right, viewed from rear or side | Bust of Hadrian, draped, right, viewed from rear or side","HADRIANVS AVG III P P","Bust of Hadrian, draped, right, viewed from rear or side","","","2022-01-20T02:44:11Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.826-827","RIC II, Part 3 (second edition) Hadrian 826-827","ric.2_3(2).hdn.826-827","125","127","Hadrian","","Sestertius","","","Struck","Orichalcum","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVGVSTVS","Head of Hadrian, laureate, right | Head of Hadrian, right","COS III // S C (in exergue)","Hadrian standing left on rostrum, addressing citizens to left; behind right, temple","","","2022-01-20T02:43:55Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.776-777","RIC II, Part 3 (second edition) Hadrian 776-777","ric.2_3(2).hdn.776-777","125","127","Hadrian","","Aureus","","","Struck","Gold","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVGVSTVS","Head of Hadrian, laureate, right | Bust of Hadrian, laureate, draped and cuirassed, right, viewed from rear or side","// COS III (in exergue)","Hadrian riding left, pointing spear forward","","","2022-01-20T02:43:54Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.1058-1059","RIC II, Part 3 (second edition) Hadrian 1058-1059","ric.2_3(2).hdn.1058-1059","129","130","Hadrian","","Aureus","","","Struck","Gold","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVGVSTVS","Head of Hadrian, left | Bust of Hadrian, draped and cuirassed, right, viewed from rear or side","// COS III PP (in exergue)","Hadrian riding right, holding spear","","","2022-01-20T02:43:58Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.1852-1857","RIC II, Part 3 (second edition) Hadrian 1852-1857","ric.2_3(2).hdn.1852-1857","130","133","Hadrian","Gallia","Dupondius||As","","","Struck","Bronze","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVG COS III P P","Head of Hadrian, laureate, right | Head of Hadrian, right | Bust of Hadrian, laureate, draped, right, viewed from rear or side | Bust of Hadrian, draped, right, viewed from rear or side | Bust of Hadrian, draped, left, viewed from rear or side | Bust of Hadrian, draped and cuirassed, right, viewed from rear or side","RESTITVTORI GALLIAE // S C (in exergue)","Hadrian standing right, holding scroll and raising kneeling Gallia","","","2022-01-20T02:44:07Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.1060-1063","RIC II, Part 3 (second edition) Hadrian 1060-1063","ric.2_3(2).hdn.1060-1063","129","130","Hadrian","","Aureus","","","Struck","Gold","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVGVSTVS","Head of Hadrian, right | Head of Hadrian, left | Bust of Hadrian, draped and cuirassed, left, viewed from front","COS III PP","Hadrian, draped, cuirassed, standing left, raising hand and holding spear; to left, two standards; to right, one standard","","","2022-01-20T02:43:58Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.2036","RIC II, Part 3 (second edition) Hadrian 2036","ric.2_3(2).hdn.2036","133","135","Hadrian","","Aureus","","","Struck","Gold","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVG COS III P P","Head of Hadrian, right","","Hadrian riding right, raising arm","","","2022-01-20T02:44:08Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.1056-1057","RIC II, Part 3 (second edition) Hadrian 1056-1057","ric.2_3(2).hdn.1056-1057","129","130","Hadrian","","Aureus","","","Struck","Gold","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVGVSTVS","Head of Hadrian, left | Bust of Hadrian, draped, left, viewed from rear or side","COS III PP","Hadrian standing right, raising right hand and holding spear","","","2022-01-20T02:43:58Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.1845-1851","RIC II, Part 3 (second edition) Hadrian 1845-1851","ric.2_3(2).hdn.1845-1851","130","133","Hadrian","Gallia","Sestertius","","","Struck","Orichalcum","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVG COS III P P","Head of Hadrian, laureate, right | Head of Hadrian, right | Bust of Hadrian, cuirassed, right, viewed from front | Bust of Hadrian, laureate, draped, right, viewed from rear or side | Bust of Hadrian, draped, right, viewed from rear or side | Bust of Hadrian, laureate, draped, left, viewed from rear or side | Bust of Hadrian, laureate, draped and cuirassed, right, viewed from rear or side","RESTITVTORI GALLIAE // S C (in exergue)","Hadrian standing right, holding scroll and raising kneeling Gallia","","","2022-01-20T02:44:07Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.2072-2075","RIC II, Part 3 (second edition) Hadrian 2072-2075","ric.2_3(2).hdn.2072-2075","133","135","Hadrian","Roma","Dupondius||As","","","Struck","Bronze","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVG COS III P P","Head of Hadrian, laureate, right | Head of Hadrian, right | Bust of Hadrian, laureate, draped, right, viewed from rear or side | Bust of Hadrian, draped, right, viewed from rear or side","ADVENTVS AVG // S C (in exergue)","Roma standing right, holding spear and greeting Hadrian, standing left, holding scroll","","","2022-01-20T02:44:09Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.1584-1586","RIC II, Part 3 (second edition) Hadrian 1584-1586","ric.2_3(2).hdn.1584-1586","130","133","Hadrian","Hispania","Denarius","","","Struck","Silver","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVG COS III P P","Head of Hadrian, laureate, right | Head of Hadrian, laureate, left | Bust of Hadrian, laureate, draped, right, viewed from rear or side","RESTITVTORI HISPANIAE","Hadrian standing right, holding scroll and raising kneeling Hispania, holding olive branch; usually between them, rabbit","","","2022-01-20T02:44:04Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.1055","RIC II, Part 3 (second edition) Hadrian 1055","ric.2_3(2).hdn.1055","129","130","Hadrian","","Aureus","","","Struck","Gold","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVGVSTVS P P","Bust of Hadrian, draped, right, viewed from rear or side","COS III PP","Hadrian riding right, holding spear","","","2022-01-20T02:43:58Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.2963","RIC II, Part 3 (second edition) Hadrian 2963","ric.2_3(2).hdn.2963","118","118","Hadrian","","Denarius","","","Struck","Silver","Antioch","Coin","Hadrian","Syria","","","","","DIVVS TRAIANVS PAT[ER AVGVSTVS]","Head of Hadrian, laureate, right","IMP HADRIAN DIVI NER TRAIAN OPT FIL // REST (in exergue)","Hadrian standing left, sacrificing over altar","","","2022-01-20T02:44:19Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.1983-1986","RIC II, Part 3 (second edition) Hadrian 1983-1986","ric.2_3(2).hdn.1983-1986","133","135","Hadrian","Roma","Denarius","","","Struck","Silver","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVG COS III P P","Head of Hadrian, laureate, right | Head of Hadrian, right | Bust of Hadrian, laureate, draped, right, viewed from rear or side | Bust of Hadrian, draped, right, viewed from rear or side","ADVENTVS AVG","Roma standing right, holding spear and clasping hands with Hadrian, standing left, holding scroll","","","2022-01-20T02:44:08Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.1580-1583","RIC II, Part 3 (second edition) Hadrian 1580-1583","ric.2_3(2).hdn.1580-1583","130","133","Hadrian","Hispania","Denarius","","","Struck","Silver","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVG COS III P P","Head of Hadrian, laureate, right | Head of Hadrian, right | Bust of Hadrian, laureate, draped, right, viewed from rear or side | Bust of Hadrian, draped, right, viewed from rear or side","RESTITVTORI HISPANIAE","Hadrian standing left, holding scroll and raising kneeling Hispania, holding olive branch; usually between them, rabbit","","","2022-01-20T02:44:04Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.1563-1565","RIC II, Part 3 (second edition) Hadrian 1563-1565","ric.2_3(2).hdn.1563-1565","130","133","Hadrian","Achaea","Aureus","","","Struck","Gold","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVG COS III P P","Head of Hadrian, right | Head of Hadrian, left | Bust of Hadrian, draped, right, viewed from rear or side","RESTITVTORI ACHAIAE","Hadrian standing left, holding scroll and raising kneeling Achaea; between them, vase with palm","","","2022-01-20T02:44:04Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.1384-1385","RIC II, Part 3 (second edition) Hadrian 1384-1385","ric.2_3(2).hdn.1384-1385","129","130","Hadrian","","As","","","Struck","Bronze","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVGVSTVS","Bust of Hadrian, laureate, draped, right, viewed from rear or side | Bust of Hadrian, draped, right, viewed from rear or side","HADRIANVS AVGVSTVS","Bust of Hadrian, draped, left, viewed from rear or side","","","2022-01-20T02:44:02Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.749","RIC II, Part 3 (second edition) Hadrian 749","ric.2_3(2).hdn.749","124","125","Hadrian","","As","","","Struck","Bronze","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVGVSTVS","Head of Hadrian, laureate, right","HADRIANVS AVGVSTVS","Head of Hadrian, laurate, traces of drapery on far shoulder, right","","","2022-01-20T02:43:54Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.2705","RIC II, Part 3 (second edition) Hadrian 2705","ric.2_3(2).hdn.2705","137","137","Hadrian","","Dupondius||As","","","Struck","Bronze","Rome","Coin","Lucius Aelius||Hadrian","Italy","","","","","L AELIVS CAESAR","Head of Lucius Aelius Caesar, right","HADRIANVS AVG COS III P P","Bust of Hadrian, draped, right, viewed from rear or side","","","2022-01-20T02:44:16Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.1995-1998","RIC II, Part 3 (second edition) Hadrian 1995-1998","ric.2_3(2).hdn.1995-1998","133","135","Hadrian","Felicitas","Denarius","","","Struck","Silver","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVG COS III P P","Head of Hadrian, laureate, right | Head of Hadrian, right | Bust of Hadrian, laureate, draped, right, viewed from rear or side | Bust of Hadrian, draped, right, viewed from rear or side","FELICITAS AVG","Hadrian standing right, holding scroll and clasping hands with Felicitas, standing left, holding caduceus","","","2022-01-20T02:44:08Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.1881-1885","RIC II, Part 3 (second edition) Hadrian 1881-1885","ric.2_3(2).hdn.1881-1885","130","133","Hadrian","Macedonia","Sestertius","","","Struck","Orichalcum","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVG COS III P P","Head of Hadrian, laureate, right | Head of Hadrian, right | Bust of Hadrian, laureate, draped, right, viewed from rear or side | Bust of Hadrian, draped, right, viewed from rear or side | Bust of Hadrian, laureate, draped, left, viewed from rear or side","RESTITVTORI MACEDONIAE // S C (in exergue)","Hadrian standing left, holding scroll and raising kneeling Macedonia, wearing kausia, holding whip","","","2022-01-20T02:44:07Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.2089-2095","RIC II, Part 3 (second edition) Hadrian 2089-2095","ric.2_3(2).hdn.2089-2095","133","135","Hadrian","Felicitas","Dupondius||As","","","Struck","Bronze","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVG COS III P P","Head of Hadrian, laureate, right | Head of Hadrian, right | Head of Hadrian, laureate, left | Bust of Hadrian, laureate, draped, right, viewed from rear or side | Bust of Hadrian, draped, right, viewed from rear or side | Bust of Hadrian, laureate, draped, left, viewed from rear or side | Bust of Hadrian, draped, left, viewed from rear or side","FELICITAS AVG // S C (in exergue)","Hadrian standing right, holding scroll and greeting Felicitas, standing left, holding caduceus","","","2022-01-20T02:44:09Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.780","RIC II, Part 3 (second edition) Hadrian 780","ric.2_3(2).hdn.780","125","127","Hadrian","","Aureus","","","Struck","Gold","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVGVSTVS","Head of Hadrian, laureate, right","COS III","Hadrian riding right, holding spear","","","2022-01-20T02:43:54Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.927-928","RIC II, Part 3 (second edition) Hadrian 927-928","ric.2_3(2).hdn.927-928","128","129","Hadrian","","Aureus","","","Struck","Gold","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVGVSTVS P P","Bust of Hadrian, laureate, draped and cuirassed, right, viewed from rear or side | Bust of Hadrian, draped and cuirassed, right, viewed from rear or side","COS III","Hadrian standing right, raising right hand and holding spear","","","2022-01-20T02:43:57Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.1889-1893","RIC II, Part 3 (second edition) Hadrian 1889-1893","ric.2_3(2).hdn.1889-1893","130","133","Hadrian","Phrygia","Sestertius","","","Struck","Orichalcum","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVG COS III P P","Head of Hadrian, laureate, right | Head of Hadrian, right | Bust of Hadrian, laureate, draped, right, viewed from rear or side | Bust of Hadrian, draped, right, viewed from rear or side | Bust of Hadrian, laureate, draped, left, viewed from rear or side","RESTITVTORI PHRYGIAE // S C (in exergue or field)","Hadrian standing left, holding scroll and raising kneeling Phrygia, wearing Phrygian cap, holding pedum","","","2022-01-20T02:44:07Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.2078-2081","RIC II, Part 3 (second edition) Hadrian 2078-2081","ric.2_3(2).hdn.2078-2081","133","135","Hadrian","Roma","Dupondius||As","","","Struck","Bronze","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVG COS III P P","Head of Hadrian, laureate, right | Head of Hadrian, right | Bust of Hadrian, laureate, draped, right, viewed from rear or side | Bust of Hadrian, draped, right, viewed from rear or side","ADVENTVS AVG // S C (in exergue)","Hadrian standing right, holding scroll and greeting Roma, standing left, holding spear","","","2022-01-20T02:44:09Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.1987-1990","RIC II, Part 3 (second edition) Hadrian 1987-1990","ric.2_3(2).hdn.1987-1990","133","135","Hadrian","Roma","Denarius","","","Struck","Silver","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVG COS III P P","Head of Hadrian, laureate, right | Head of Hadrian, right | Bust of Hadrian, laureate, draped, right, viewed from rear or side | Bust of Hadrian, draped, right, viewed from rear or side","ADVENTVS AVG","Hadrian standing right, holding scroll and clasping hands with Roma, standing left, holding spear","","","2022-01-20T02:44:08Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.1991-1994","RIC II, Part 3 (second edition) Hadrian 1991-1994","ric.2_3(2).hdn.1991-1994","133","135","Hadrian","Roma","Aureus","","","Struck","Gold","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVG COS III P P","Head of Hadrian, right | Head of Hadrian, left | Bust of Hadrian, draped, right, viewed from rear or side | Bust of Hadrian, draped and cuirassed, right, viewed from rear or side","ADVENTVS AVG","Roma seated right on pile of armor, holding spear and clasping hands with Hadrian, standing left, holding scroll","","","2022-01-20T02:44:08Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.785","RIC II, Part 3 (second edition) Hadrian 785","ric.2_3(2).hdn.785","125","127","Hadrian","Roma","Quinarius aureus","","","Struck","Gold","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVGVSTVS","Head of Hadrian, laureate, right","// COS III (in exergue)","Roma seated right on cuirass and shield, clasping hands with Hadrian and holding spear; Hadrian standing left","","","2022-01-20T02:43:54Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.1951-1953","RIC II, Part 3 (second edition) Hadrian 1951-1953","ric.2_3(2).hdn.1951-1953","130","133","Hadrian","","Sestertius","","","Struck","Orichalcum","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVG COS III P P","Head of Hadrian, laureate, right | Bust of Hadrian, laureate, draped, right, viewed from rear or side | Bust of Hadrian, draped, right, viewed from rear or side","EXERCITVS // RAETICVS / S C (in exergue)","Hadrian riding right, raising hand; before him, three soldiers with standards","","","2022-01-20T02:44:08Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.2862","RIC II, Part 3 (second edition) Hadrian 2862","ric.2_3(2).hdn.2862","129","130","Hadrian","","Sestertius","","","Struck","Orichalcum","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVGVSTVS","Head of Hadrian, left","// COS III P P (in exergue)","Hadrian riding left, spearing boar","","","2022-01-20T02:44:17Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.2100-2103","RIC II, Part 3 (second edition) Hadrian 2100-2103","ric.2_3(2).hdn.2100-2103","133","135","Hadrian","Fortuna","Dupondius||As","","","Struck","Bronze","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVG COS III P P","Head of Hadrian, laureate, right | Head of Hadrian, right | Bust of Hadrian, laureate, draped, right, viewed from rear or side | Bust of Hadrian, draped, right, viewed from rear or side","FORTVNAE REDVCI // S C (in exergue)","Hadrian standing right, holding scroll and greeting Fortuna, standing left, holding cornucopia and rudder ususally on globe","","","2022-01-20T02:44:09Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.735","RIC II, Part 3 (second edition) Hadrian 735","ric.2_3(2).hdn.735","124","125","Hadrian","","Sestertius","","","Struck","Orichalcum","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVGVSTVS","Head of Hadrian, laureate, right","COS III // EXPED AVG (in exergue) // S C (in field)","Hadrian, riding left, raising hand","","","2022-01-20T02:43:54Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.737","RIC II, Part 3 (second edition) Hadrian 737","ric.2_3(2).hdn.737","124","125","Hadrian","","Sestertius","","","Struck","Orichalcum","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVGVSTVS","Head of Hadrian, laureate, right","COS III // EXPED AVG (in exergue) // S C (in field)","Hadrian, riding right, raising hand","","","2022-01-20T02:43:54Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.1383","RIC II, Part 3 (second edition) Hadrian 1383","ric.2_3(2).hdn.1383","129","130","Hadrian","","As","","","Struck","Bronze","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVGVSTVS","Head of Hadrian, laureate, right","HADRIANVS AVGVSTVS","Bust of Hadrian, laureate, draped and cuirassed, right, viewed from rear or side","","","2022-01-20T02:44:02Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.618-621","RIC II, Part 3 (second edition) Hadrian 618-621","ric.2_3(2).hdn.618-621","121","123","Hadrian","","As","","","Struck","Bronze","Rome","Coin","Hadrian","Italy","","","","","IMP CAESAR TRAIAN HADRIANVS AVG","Bust of Hadrian, laureate, cuirassed, right, viewed from front | Bust of Hadrian, laureate, draped, right, viewed from front | Bust of Hadrian, laureate, draped and cuirassed, right, viewed from front | Bust of Hadrian, laureate, draped and cuirassed, right, viewed from rear or side","IMP CAESAR TRAIAN HADRIANVS AVG","Bust of Hadrian, laureate, draped and cuirassed, right, viewed from front","","","2022-01-20T02:43:52Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.1858-1862","RIC II, Part 3 (second edition) Hadrian 1858-1862","ric.2_3(2).hdn.1858-1862","130","133","Hadrian","Hispania","Sestertius","","","Struck","Orichalcum","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVG COS III P P","Head of Hadrian, laureate, right | Head of Hadrian, left | Bust of Hadrian, laureate, draped, right, viewed from rear or side | Bust of Hadrian, draped, right, viewed from rear or side | Bust of Hadrian, laureate, draped, left, viewed from rear or side","RESTITVTORI HISPANIAE // S C (in exergue)","Hadrian standing right, holding scroll and raising kneeling Hispania, holding olive branch; between them, rabbit","","","2022-01-20T02:44:07Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.1424-1431","RIC II, Part 3 (second edition) Hadrian 1424-1431","ric.2_3(2).hdn.1424-1431","130","130","Hadrian","Romulus","Denarius","","","Struck","Silver","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVG COS III P P","Head of Hadrian, laureate, right | Head of Hadrian, laureate, left | Head of Hadrian, right | Head of Hadrian, left | Bust of Hadrian, laureate, draped, right, viewed from rear or side | Bust of Hadrian, draped, right, viewed from rear or side | Bust of Hadrian, draped, left, viewed from rear or side | Bust of Hadrian, draped and cuirassed, right, viewed from rear or side","ROMVLO CONDITORI","Romulus advancing right, holding spear and trophy","","","2022-01-20T02:44:03Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.1936-1938","RIC II, Part 3 (second edition) Hadrian 1936-1938","ric.2_3(2).hdn.1936-1938","130","133","Hadrian","","Sestertius","","","Struck","Orichalcum","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVG COS III P P","Bust of Hadrian, laureate, draped, right, viewed from rear or side | Bust of Hadrian, draped, right, viewed from rear or side | Bust of Hadrian, draped, left, viewed from rear or side","EXERCITVS // GERMANICVS / S C (in exergue)","Hadrian riding right, raising hand; before him, three soldiers with standards","","","2022-01-20T02:44:08Z"
